VS,福岡アブレイズ,,,,,,,６/１４,12:00〜,駕与丁公園
,,チーム名,,１,２,３,４,５,,計
,,フルフェイス,,０,０,０,０,０,,０
,,アブレイズ,,５,４,５,２,×,,１６
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
打順,選手名,背番号,守備,１回,２回,３回,４回,５回,６回,７回
１,藤岡,７７,６,三振,,三振,,,,
２,中西,４,７,三振,,三振,,,,
３,大淵,２５,８,中２安,,,中２安,,,
４,田中桜奨,６１,５,"四球
　盗塁１",,,三ゴロ,,,
５,井口,１,２,三振,,,二ゴロ,,,
６,髙橋,１７,４,,遊直,,遊ゴロ,,,
７,田中敬治,８,DH,,四球,,,一ゴロ,,
８,道下,１３,９,,投飛,,,四球,,
９,古賀,１６,１,,左飛,,,中飛,,
１０,森,６,３,,,三振,,三振,,
１１,,,,,,,,,,
１２,,,,,,,,,,
投手成績,,,,,,,,,,
,,,,,,,,,,
,選手名,登板回数,失点,自責点,奪三振,四球,死球,被安打,被本塁打,
１,古賀,３,１４,１３,２,２,１,１３,２,
２,田中,１,２,２,０,０,１,２,０,
３,大淵,,２,２,,,２,１,０,
４,,,,,,,,,,
,,,,,,,,,,
備考,,,,,,,,,,
